order_datetime,origin_longitude,origin_latitude,m_order_eta,order_gk,order_status_key,is_driver_assigned_key,cancellations_time_in_seconds,offer_id
17:29:12,-0.991947,51.421997,,3000632370946,4,0,43.0,300052376281.0
17:29:12,-0.991947,51.421997,,3000632370946,4,0,43.0,300052376290.0
17:29:12,-0.991947,51.421997,,3000632370946,4,0,43.0,300052376273.0
17:29:12,-0.991947,51.421997,,3000632370946,4,0,43.0,300052376296.0
03:46:22,-0.932414,51.447308,,3000632020505,4,0,77.0,300052350168.0
12:20:25,-0.984941,51.425929,477.0,3000632221938,4,1,46.0,300052366918.0
12:20:25,-0.984941,51.425929,477.0,3000632221938,4,1,46.0,300052366919.0
12:20:25,-0.984941,51.425929,477.0,3000632221938,4,1,46.0,300052366914.0
18:04:34,-0.972893,51.456873,238.0,3000632372217,4,1,593.0,300052378080.0
18:04:34,-0.972893,51.456873,238.0,3000632372217,4,1,593.0,300052378081.0
18:04:34,-0.972893,51.456873,238.0,3000632372217,4,1,593.0,300052378072.0
18:04:34,-0.972893,51.456873,238.0,3000632372217,4,1,593.0,300052378076.0
18:04:34,-0.972893,51.456873,238.0,3000632372217,4,1,593.0,300052378084.0
20:16:26,-0.969962,51.434487,,3000632421828,4,0,249.0,
19:16:56,-0.942731,51.455331,,3000632397368,4,0,120.0,
14:02:18,-1.049098,51.482327,,3000632271378,4,0,31.0,300052369171.0
18:10:53,-0.962746,51.450836,,3000632372417,4,0,44.0,300052378331.0
18:10:53,-0.962746,51.450836,,3000632372417,4,0,44.0,300052378316.0
18:10:53,-0.962746,51.450836,,3000632372417,4,0,44.0,300052378324.0
18:10:53,-0.962746,51.450836,,3000632372417,4,0,44.0,300052378297.0
18:10:53,-0.962746,51.450836,,3000632372417,4,0,44.0,300052378310.0
18:10:53,-0.962746,51.450836,,3000632372417,4,0,44.0,300052378287.0
14:07:16,-0.974003,51.458636,358.0,3000632271446,4,1,59.0,300052369288.0
14:07:16,-0.974003,51.458636,358.0,3000632271446,4,1,59.0,300052369283.0
14:07:16,-0.974003,51.458636,358.0,3000632271446,4,1,59.0,300052369275.0
17:12:18,-0.963187,51.450644,,3000632347310,4,0,15.0,300052375493.0
08:13:01,-0.989201,51.472551,,3000632122419,4,0,318.0,
19:17:46,-1.010571,51.462461,,3000632397392,9,0,,
08:56:51,-0.966842,51.472315,,3000632147549,9,0,,
08:32:37,-0.938129,51.422154,475.0,3000632146010,4,1,13.0,300052358121.0
08:33:57,-0.939241,51.44867,,3000632146097,4,0,79.0,
21:49:08,-0.978128,51.454907,60.0,3000632471464,4,1,7.0,300052384242.0
15:12:51,-0.971462,51.446408,,3000632296817,4,0,59.0,300052371064.0
15:12:51,-0.971462,51.446408,,3000632296817,4,0,59.0,300052371022.0
15:12:51,-0.971462,51.446408,,3000632296817,4,0,59.0,300052371072.0
15:12:51,-0.971462,51.446408,,3000632296817,4,0,59.0,300052371046.0
15:12:51,-0.971462,51.446408,,3000632296817,4,0,59.0,300052370999.0
15:12:51,-0.971462,51.446408,,3000632296817,4,0,59.0,300052371033.0
15:12:51,-0.971462,51.446408,,3000632296817,4,0,59.0,300052371076.0
15:12:51,-0.971462,51.446408,,3000632296817,4,0,59.0,300052371009.0
21:43:28,-0.978128,51.454907,60.0,3000632471376,4,1,327.0,300052384095.0
08:52:23,-0.974281,51.475314,,3000632147350,9,0,,
23:58:55,-0.95707,51.442723,658.0,3000632521657,4,1,836.0,
07:59:06,-0.990123,51.454477,,3000632121757,4,0,117.0,
18:55:00,-0.961141,51.439149,,3000632396576,4,0,459.0,
15:33:45,-0.955174,51.435582,658.0,3000632321024,4,1,60.0,300052371856.0
15:33:45,-0.955174,51.435582,658.0,3000632321024,4,1,60.0,300052371877.0
